DECEMBER 2006 CRIME STATS - FREMON                                          
                                                                            
AUTO BURGLARY                                                               
             Location             Reported DateReceived Ti                  
4657 MATTOS DR                       12/17/2006    2:25:46                  
4570 MATTOS DR                       12/17/2006    2:23:23                  
36746 BONITO DR                      12/17/2006    3:53:12                  
1668 CROW CT                         12/17/2006    9:00:06                  
133 GABLE DR                         12/17/2006    9:47:47                  
34308 TORRINGTON CT                  12/17/2006   13:52:31                  
41416 CHRISTY ST                     12/17/2006   14:24:52                  
40944 LINCOLN ST                     12/17/2006   15:59:42                  
43222 STARR ST                       12/18/2006    9:16:40                  
3741 WASHINGTON BL                   12/18/2006   13:31:05                  
39675 LOGAN DR                       12/18/2006   20:46:26                  
39139 FARWELL DR                     12/18/2006   23:04:43                  
4257 DELAWARE DR                     12/19/2006   11:14:15                  
4555 THORNTON AV                     12/20/2006    8:48:45                  
44511 S GRIMMER BL                   12/20/2006   14:33:05                  
39490 FREMONT BL                     12/20/2006   18:58:34                  
BIDWELL DR/ FREMONT BL               12/21/2006   16:31:12                  
34444 FREMONT BL                     12/21/2006   20:35:56                  
4525 NICOLET AV                      12/21/2006   23:21:41                  
4965 OMAR ST                         12/21/2006   23:54:18                  
5029 CASTLEWOOD CO                   12/22/2006    2:39:56                  
39655 TRINITY WY                     12/22/2006   14:05:05                  
46650 LANDING PK                     12/22/2006   16:14:04                  
34101 FREMONT BL                     12/23/2006    0:56:29                  
114 HACKAMORE LN                     12/23/2006    7:48:07                  
46101 RESEARCH AV                    12/23/2006   11:32:53                  
41968 HIGGINS WY                     12/24/2006    5:52:36                  
84 BARNES LN                         12/24/2006   10:28:16                  
1079 PLYMOUTH AV                     12/24/2006   15:56:51                  
39477 FREMONT BL                     12/24/2006   23:08:07                  
3238 BELDEN TR                       12/25/2006    3:52:27                  
5447 FIESTA RD                       12/26/2006    9:22:36                  
4295 OGDEN DR                        12/26/2006   14:08:01                  
DEMPSEY RD/ YOSEMITE DR              12/26/2006   19:18:59                  
845 MOWRY AV                         12/26/2006   22:54:51                  
4141 DEEP CREEK RD                   12/27/2006    5:02:51                  
38724 AURORA TR                      12/27/2006    7:56:47                  
37500 CENTRALMONT PL                 12/27/2006   14:19:28                  
4643 BALBOA WY                       12/29/2006    7:42:59                  
MOWRY AV/ PERALTA BL                 12/29/2006   12:04:19                  
36000 FREMONT BL                     12/29/2006   16:27:09                  
2000 STEVENSON BL                    12/29/2006   19:00:47                  
46 VIA MALAGA                        12/29/2006   23:31:05                  
41747 DENISE ST                      12/31/2006   14:33:07                  
                                                                            
ROBBERY                                                                     
39125 FREMONT HUB                    12/04/2006   21:34:55                  
40910 FREMONT BL                     12/05/2006    2:27:59                  
EGGERS DR/ EGGERS CT                 12/05/2006   21:29:04                  
CAHILL/ MILDRED                      12/08/2006   21:43:34                  
39100 ARGONAUT WY                    12/09/2006   17:22:15                  
34241 FREMONT BL                     12/10/2006   22:09:19                  
37011 FREMONT BL                     12/11/2006   20:13:55                  
34443 COLVILLE PL                    12/12/2006   12:58:54                  
39989 FARWELL DR                     12/13/2006   22:36:40                  
405 RANCHO ARROYO PK                 12/15/2006    1:44:08                  
44009 OSGOOD RD                      12/15/2006   19:05:45                  
41885 BLACOW RD                      12/15/2006   20:38:43                  
39131 FREMONT BL                     12/15/2006   23:12:31                  
39800 FREMONT BL                     12/16/2006   22:47:52                  
GABLE DR/ WARM SPRINGS BL            12/18/2006   15:15:04                  
190 WASHINGTON BL                    12/20/2006    0:27:55                  
122 GABLE DR                         12/20/2006    1:59:13                  
37324 FREMONT BL                     12/21/2006   11:45:48                  
43555 GRIMMER BL                     12/21/2006   15:53:11                  
34759 ARDENWOOD BL                   12/23/2006   21:07:10                  
39445 FREMONT BL                     12/28/2006   16:13:49                  
5255 MOWRY AV                        12/28/2006   17:58:49                  
44009 OSGOOD RD                      12/28/2006   21:30:11                  
39100 ARGONAUT WY                    12/31/2006   22:17:36                  
                                                                            
MURDER                                                                      
NONE                                                                        
