# This list of grammars gets inserted into the Java source code.
# See the indicated URLs for documentation.
# Although we don't use the URLs anymore in the program (the CGI version used
# to let you jump to the page, but that created too many complications for
# the non-CGI version) we'll leave the URLs in anyway, just for documentation.
#
# It's ok to edit this file as long as you retain the existing format,
# and in particular:
# 1. Put an exclamation mark between fields.
# 2. Do not put exclamation marks anywhere else.
# 3. Put comments (such as this line) after a # sign.
#
# Name                                       LU      ave. duration   url
#
"Portuguese.Brazil dates"!                1.80!     2.26!  "http://intranet.nuance.com/provisioning/brazil/date.html"
"Portuguese.Brazil 1470 company names"!   4.45!     2.06!  "http://intranet.nuance.com/provisioning/brazil/company.html"

"Swedish 16 digits, landline"!    1.92!   10.96! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish 16 digits, cellular"!    2.45!   10.66! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish broad yes/no, landline"!    1.13!    4.55! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish broad yes/no, cellular"!    1.51!    1.77! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish 1000 companies, landline"!    2.66!    5.55! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish 1000 companies, cellular"!    2.43!    2.93! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish 260 cities"!   13.42!    1.92! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Swedish dates"!    3.89!    1.91! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"

